Application ID,Application Date,Channel, Amount Requested ,Risk Class,Decision,Decision Code,Outcome, Revenue/ (Loss) 
100000,12/1/2010,Online, $500 ,N,Decline,D,n/a, $-   
100001,12/1/2010,Online, $300 ,N,Decline,D,n/a, $-   
100002,12/1/2010,Online, $500 ,B,Decline,D,n/a, $-   
100003,12/1/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100004,12/1/2010,Store, $500 ,N,Decline,D,n/a, $-   
100005,12/1/2010,Online, $300 ,J,Decline,D,n/a, $-   
100006,12/1/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100007,12/1/2010,Online, $500 ,N,Decline,D,n/a, $-   
100008,12/1/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100009,12/1/2010,Online, $200 ,J,Approve,S,Good = Pay, $20 
100010,12/1/2010,Store, $500 ,N,Decline,D,n/a, $-   
100011,12/1/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100012,12/1/2010,Online, $500 ,N,Decline,D,n/a, $-   
100013,12/1/2010,Store, $500 ,J,Decline,D,n/a, $-   
100014,12/1/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100015,12/1/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100016,12/1/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100017,12/2/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100018,12/2/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100019,12/2/2010,Online, $500 ,B,Decline,D,n/a, $-   
100020,12/2/2010,Online, $300 ,N,Decline,D,n/a, $-   
100021,12/2/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100022,12/2/2010,Online, $200 ,B,Approve,U,Bad = Default, $(200)
100023,12/2/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100024,12/2/2010,Online, $500 ,J,Decline,D,n/a, $-   
100025,12/2/2010,Online, $500 ,B,Decline,D,n/a, $-   
100026,12/2/2010,Online, $500 ,B,Decline,D,n/a, $-   
100027,12/2/2010,Online, $200 ,N,Decline,D,n/a, $-   
100028,12/2/2010,Online, $500 ,J,Decline,D,n/a, $-   
100029,12/2/2010,Online, $300 ,B,Approve,U,Good = Pay, $30 
100030,12/2/2010,Online, $200 ,N,Decline,D,n/a, $-   
100031,12/2/2010,Online, $500 ,N,Decline,D,n/a, $-   
100032,12/2/2010,Online, $200 ,B,Approve,U,Good = Pay, $20 
100033,12/2/2010,Online, $500 ,J,Decline,D,n/a, $-   
100034,12/2/2010,Online, $300 ,N,Decline,D,n/a, $-   
100035,12/2/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100036,12/2/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100037,12/3/2010,Online, $500 ,J,Decline,D,n/a, $-   
100038,12/3/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100039,12/3/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100040,12/3/2010,Online, $200 ,J,Approve,S,Good = Pay, $20 
100041,12/3/2010,Online, $500 ,N,Decline,D,n/a, $-   
100042,12/3/2010,Online, $500 ,N,Decline,D,n/a, $-   
100043,12/3/2010,Online, $500 ,B,Decline,D,n/a, $-   
100044,12/3/2010,Online, $500 ,B,Decline,D,n/a, $-   
100045,12/3/2010,Store, $200 ,B,Approve,U,Good = Pay, $20 
100046,12/3/2010,Store, $500 ,B,Approve,S,Good = Pay, $50 
100047,12/3/2010,Online, $300 ,N,Decline,D,n/a, $-   
100048,12/3/2010,Online, $200 ,J,Approve,S,Bad = Default, $(100)
100049,12/3/2010,Store, $500 ,N,Decline,D,n/a, $-   
